"date","commune","case_true","case_lowCI","case_med","case_uppCI","pop","inc_true","inc_lowCI","inc_med","inc_uppCI","hist_year","season","month_lab"
2023-01-01,"MAROHARATRA",NA,697,915,1203,15012,NA,46.4114555956689,60.9374914562647,80.154810471267,3,"2022/2023","Jan"
2023-01-01,"MAROTOKO",NA,605,823,1120,8645,NA,70.0080482444445,95.1666134784501,129.572365893898,3,"2022/2023","Jan"
2023-01-01,"RANOMAFANA",NA,528,710,957,16481,NA,32.0211696537228,43.1062909766733,58.051985017626,3,"2022/2023","Jan"
2023-01-01,"TSARATANANA",NA,2222,2843,3639,30967,NA,71.7643582089966,91.8188498159785,117.510708466009,3,"2022/2023","Jan"
2023-02-01,"AMBIABE",NA,1383,1885,2569,11933,NA,115.922762336623,157.931689667778,215.296027594693,3,"2022/2023","Feb"
2023-02-01,"AMBOHIMANGA DU SUD",NA,875,1120,1435,23203,NA,37.6978446522726,48.272032098544,61.83436802442,3,"2022/2023","Feb"
2023-02-01,"AMBOHIMIERA",NA,1384,1836,2440,17726,NA,78.0936230481326,103.557323347294,137.652497625149,3,"2022/2023","Feb"
2023-02-01,"AMPASINAMBO",NA,250,350,493,3947,NA,63.2526268166726,88.7875266072975,124.857709873023,3,"2022/2023","Feb"
2023-02-01,"ANALAMPASINA",NA,447,601,808,7702,NA,58.1004795103923,78.0449159969802,104.880153476746,3,"2022/2023","Feb"
2023-02-01,"ANDRORANGAVOLA",NA,856,1119,1464,18323,NA,46.7334099003463,61.0847459339034,79.9074149855664,3,"2022/2023","Feb"
2023-02-01,"ANTARETRA",NA,1014,1325,1733,12416,NA,81.648549557567,106.747278956286,139.57521769953,3,"2022/2023","Feb"
2023-02-01,"ANTSINDRA",NA,375,509,691,8056,NA,46.544028727069,63.1624201224434,85.7456398832627,3,"2022/2023","Feb"
2023-02-01,"FASINTSARA",NA,907,1170,1508,14748,NA,61.5299942833609,79.3142088606021,102.251649280082,3,"2022/2023","Feb"
2023-02-01,"IFANADIANA",NA,989,1289,1679,21662,NA,45.650985506777,59.4822151491069,77.506495378606,3,"2022/2023","Feb"
2023-02-01,"KELILALINA",NA,1158,1487,1910,15832,NA,73.1698602125962,93.946239013034,120.622657722442,3,"2022/2023","Feb"
2023-02-01,"MAROHARATRA",NA,937,1231,1619,15038,NA,62.3250942158672,81.8291191993063,107.630979590248,3,"2022/2023","Feb"
2023-02-01,"MAROTOKO",NA,514,703,963,8661,NA,59.3028880589532,81.1306966474479,111.163024475143,3,"2022/2023","Feb"
2023-02-01,"RANOMAFANA",NA,515,694,937,16516,NA,31.1619911815458,42.0477454969887,56.7472677361512,3,"2022/2023","Feb"
2023-02-01,"TSARATANANA",NA,2446,3131,4010,31030,NA,78.8253591611174,100.912424222663,129.225762714861,3,"2022/2023","Feb"
2023-03-01,"AMBIABE",NA,1040,1411,1914,11962,NA,86.9473348056427,117.93579283253,160.018641102521,3,"2022/2023","Mar"
